	c	e	g	l	m	n	r	x	i
256435	0	2.4	4.7	0.7	0	4.1	1.0	0	0
257068	0.8	0	0	0	1.7	3.8	0	0	0
2571	3.5	1.2	0	0	1.1	3.1	0	0	0
2572	4.0	1.4	3.4	0	1.5	2.6	0	0	0
257202	1.3	4.2	0	0	0.9	0	1.1	0	0
257218	1.6	0	0	0	0	4.6	0	0	0
25769	1.0	0.5	0	0	0	0	0	0	0
25778	1.4	0	0	0	0	2.6	0	0	0
25796	4.5	1.3	0	0	1.7	2.8	0.4	1.2	0
25797	0	4.5	0.9	0.3	0	0.6	0.5	0	0
2580	4.5	0.4	4.5	0.7	0.4	0	0.4	0	0.7
2581	0.8	1.0	0	5.0	0.8	0	0	0	0
2582	4.0	0.7	0	0	0.6	1.4	0	0.8	0
25828	1.4	0	0	0	4.9	4.4	0.8	0	0.5
2583	0	1.0	5.0	1.4	0	0	1.0	0.2	0
25830	4.7	0.6	0	0	0.5	1.9	0	0	0
25831	2.5	0.4	0	0	0.3	0.9	0.2	0.3	0
25834	1.5	1.9	4.7	1.5	0.7	0.6	1.9	0	0
2584	4.4	0.6	1.5	0	0.2	1.5	0	0	0
2585	4.0	0	0.8	0	0	2.0	0	0	0
25862	1.4	0	0	0	0.4	4.4	0	0	0
25865	4.7	0	3.3	0.5	0	4.6	0	0	0
25874	0.6	0	0	0	4.6	0	0	0.2	0
2588	2.0	4.4	0	5.0	0.4	0	0	0.2	0
25885	2.4	0	0	0	1.3	4.6	0	0.8	0
2589	0	5.0	5.0	0	0.5	0	4.3	0.7	0
25897	4.0	0	0	0	0	1.1	0	0	0
25898	4.4	1.7	0	0	1.0	5.0	0	0	0
2590	0	3.8	4.8	0.2	0	0	4.2	0.2	0
25902	0.8	0	0	0	4.6	0.6	0	0	0
2591	0	1.0	4.7	0.2	0.6	0	1.1	0.6	0
2592	4.7	0.3	5.0	0	0	1.4	0	0	0
259230	1.7	0	5.0	0	0.6	4.3	4.0	2.1	0
2593	4.4	0	0	0	1.0	3.6	0	0	0
25930	2.8	0.2	0	0.8	0	5.0	0	0.2	0
259307	0.8	4.2	0.5	3.1	1.2	0.8	0.2	0.8	0
25942	1.7	0	0	0	0	5.0	0	0	0
2595	1.6	0	0	0.7	0.9	2.3	0	0	0
2597	4.9	2.2	0.9	1.3	2.8	4.7	1.5	2.0	0
25973	1.4	0	0	0	4.2	0	0	1.3	0
25976	1.2	1.0	0	0	0.8	5.0	0	0	0
25989	4.1	0	0	0	0	0	0	0	0
26	0.3	5.0	0	0.3	1.1	1.1	0.6	5.0	0
26001	1.5	0.4	0	1.1	0	0	0.5	0.2	0
26002	0.7	3.8	0.2	0.2	1.0	1.1	4.0	2.3	0
26007	-1	-1	-1	-1	-1	-1	-1	-1	-1
26027	4.3	0	0	0	5.0	0	0.6	0	0
260293	0	0	1.8	0	0.6	0.5	3.7	0	1.1
26035	0	1.3	4.5	0.5	1.7	0	0.4	0	0
26061	4.0	0	0	0	0.3	0	0	5.0	0
26062	-1	-1	-1	-1	-1	-1	-1	-1	-1
26063	4.0	0	0	0	1.2	0	0	4.4	0
26090	0.3	0	0	0	0.3	0	5.0	1.0	0
26091	4.5	0	0	0	0	4.0	0	0	0
2617	4.7	4.3	0.6	0	4.6	2.4	0	0.3	0
2618	4.2	0.7	0	0	2.9	2.1	0.7	1.0	0
26191	4.5	1.2	0	0	0	5.0	0	0	0
262	3.9	1.2	0	0	0.9	3.7	0	0.6	0
26227	4.7	1.1	0	0	2.0	3.1	0.7	0	0
26229	0	1.8	5.0	0	0	0	0.6	0.4	0
26230	4.7	0	1.4	0	0	3.3	0	0	0
26266	1.5	0	0	0	0	1.5	0	0	0
26275	0.5	0	0	0	4.7	1.7	0	0.3	0
26279	1.3	4.7	0	0	0	0	0	0	0
2628	0	0	0	0	5.0	0	0	0	5.0
26289	4.8	0.7	0.3	0	1.3	0.8	0	0.3	0
2629	2.0	1.6	4.0	5.0	1.4	1.5	4.3	0.8	0
26290	0	0.2	4.7	0	0.2	0	1.1	0.2	0
26301	0	2.2	4.4	1.1	0	0	1.5	0	0
2632	4.5	0	0	0	1.0	2.6	0	0.3	0
26330	3.6	0	0	0	3.0	0.8	0	0.9	0
2638	4.3	4.7	0	4.1	0.5	1.2	0	0	0
2639	0	0.5	0	0	5.0	0.5	0	0	0
2643	5.0	1.0	0	0	0.9	5.0	0	0	0
2645	4.8	1.9	1.9	0.2	3.3	4.5	1.0	1.3	0
26469	4.4	0.4	0	0	1.9	4.4	0.4	0	0
2648	1.6	0	0	0	0.7	5.0	0	0	0
2650	0	2.9	5.0	0	0	0	1.5	0.4	0
26503	4.4	0.9	0	5.0	0.7	1.3	0	0	0
2651	0	0	4.0	0	0	0	1.2	0	0
26524	4.7	0.6	0	0	0.7	5.0	0	0	0
2653	0	0.7	0	0	4.7	0.6	0	0	0
26576	1.5	0	0	0	0	4.0	0	0.9	0
26580	0	0	0	0	0.8	1.2	5.0	0.7	0
266722	0	2.3	0.7	0	0	0	1.4	0	0
266740	2.1	0	0	0	0	5.0	0	0	0
267	3.6	1.3	4.1	0.7	1.0	2.0	5.0	0	0
267020	-1	-1	-1	-1	-1	-1	-1	-1	-1
2673	4.3	2.2	0	0	0.5	2.2	0.5	0	0
26750	3.5	0	0	0	0	1.5	0	0	0
2678	2.0	2.6	0.7	1.4	1.5	1.5	1.5	1.6	0
2679	-1	-1	-1	-1	-1	-1	-1	-1	-1
2683	1.3	1.0	5.0	4.0	1.4	0	0.6	0	0
2686	1.0	0.6	0	0	0	0	0	0.2	0
2687	0.6	2.3	0.1	0.8	0	0	0.1	0.1	0
26873	3.0	0	0	0	0	0	0	0	0
269	0.5	2.5	0	0	0.3	0	0	0.4	0
2694	1.5	5.0	0	4.3	0.9	0.8	0.6	0	0
26958	4.5	0.4	5.0	0	0	1.6	4.1	0	0
27	4.5	0.7	0	0	0	3.5	0	0	0
270	3.8	0	0	0	2.1	1.3	0	0	0
27005	4.5	0	0	0	0.5	4.5	0	0	0
27010	4.5	0	0	0	0.6	0	0	0	0
27034	1.4	0	0	0	4.7	0	0	0	0
27035	1.6	1.6	0	0	1.8	1.4	1.0	0	0
27063	4.3	0.8	0	0	0.9	4.7	0	0	0.7
27068	0	0	0	0	4.6	0	0	0	0
27087	1.3	4.1	4.6	0	0	1.4	4.1	0	0
27089	0.4	0	0	0	5.0	0.4	0	0.3	0
27090	0	2.8	4.7	0.7	0	0	0.7	0	0
271	4.6	0	0	0	3.1	1.6	0	1.4	0
2710	4.5	0.3	0	0	5.0	0	0.3	2.2	0
27102	2.6	0	0	0	0	2.6	1.3	0	0
27109	2.2	1.7	0	0	4.2	0.5	0	0	0
27115	4.6	0	0	0	0	2.0	0	0	0
2712	0.4	0.4	0	0	3.1	0	0	1.9	0
27124	4.7	0	0	0	0.6	2.6	0	0.4	0
2713	-1	-1	-1	-1	-1	-1	-1	-1	-1
27148	4.7	0	0	0	0	5.0	0	0	0
27159	0	5.0	0	0.6	0	1.0	1.3	0.7	0
27163	2.0	2.5	0	5.0	0	0.7	0.6	0.5	0
27165	2.1	1.5	0	0	5.0	1.9	0.4	0.4	0
2717	1.1	5.0	4.0	5.0	0.2	0	0.9	0.4	0
272	4.0	4.0	0	0	1.4	3.2	0	0	0
2720	1.5	4.1	4.5	4.8	0	0	1.2	0	0
27232	4.8	0.4	0	0	0.6	2.0	0	0	0
27233	4.7	0	0	0	0	0	0	1.1	0
27235	1.5	0	0	0	5.0	0	0	0.3	0
27242	3.0	1.3	0	0	1.5	2.6	0.5	0.5	0
27246	4.4	0.7	0	1.2	1.8	2.8	0	0	0
27284	4.7	0	0	0	0.5	1.2	0	0	0
2729	4.7	0.8	0	0	2.4	3.3	0.8	0.3	0
27294	1.6	1.6	0	0	0.6	2.0	0.9	0.3	0
2730	4.5	0.7	0.2	0	2.8	3.1	0	0.5	0
27306	4.8	1.9	1.3	1.2	2.4	3.2	1.6	1.5	0
2731	0.8	0	0	0	5.0	4.2	0	0	0
27330	4.2	0	0	0	4.6	4.6	0	0	0
27338	4.6	0	0.6	1.0	1.3	5.0	1.2	0	0
27339	1.4	0	0	0	0	5.0	0	0	0
27343	2.2	0.9	0	0.7	0.7	4.6	0.7	0	0
27347	4.5	1.3	0	0	0.3	4.1	0	1.0	0
27349	1.1	0	0	0	5.0	1.1	0	0	0
2739	4.8	1.1	0	0	1.4	4.5	0	0	0
27430	4.2	0	0	0	0.3	4.2	0	0.5	0
27434	1.9	0.8	0	0	1.8	4.8	0	0	0
2744	3.7	1.2	0	0	5.0	1.9	0.6	0	0
2745	5.0	1.1	0	0	2.4	3.5	1.0	0	1.2
2746	0.8	0.3	0	0	5.0	0	0	0	0
2747	2.0	0	0	0	4.7	0	0	0	0
275	1.4	0	0	0	4.6	4.0	0	1.3	0
2752	5.0	1.7	0	0	4.6	3.3	2.0	0	0
276	0	5.0	0.6	0	0	0	0.7	0	0
2760	0	4.5	0	5.0	0	0	0	0	0
2762	4.3	0.6	0	0	1.1	0.8	0	0.4	0
2766	4.4	0	0	0	2.0	1.3	0	1.1	0
277	0	5.0	0	0	0	0	0	0	0
278	0	5.0	0	0	0	0	0	0	0
279	0.8	5.0	0.9	0.6	1.1	0	0.8	0.9	0
2799	1.1	4.3	0.4	5.0	0.6	0.6	0	0	0
28	1.6	5.0	5.0	0	0	0.5	0	0	0
280	0.9	3.0	0.6	0.3	0.5	0.6	0.9	0.6	0
2805	4.5	0	0	2.0	2.1	4.3	0	1.1	0
2806	2.5	1.7	0	0	5.0	1.7	1.0	2.5	0
2819	4.2	0	0	0	1.2	1.3	0	1.3	0
2820	1.1	0.7	0	0	5.0	0	0	0.4	0
2821	4.8	4.3	0	0.8	1.6	4.6	1.0	1.2	0
2822	2.0	5.0	0	0.3	0.9	0.2	1.1	0	0
28227	1.4	0	0	0	0.4	4.3	0	0	0
28231	0	0	0	0	0	0.8	0	0	0
28232	0	0	0	0	0	0	0	0	0
28234	0.5	0.6	0	0	0	1.0	0	0.3	0
282974	2.5	0	0	0	0.8	2.3	0	0	0
283208	0	2.7	0	0.7	0.3	0	4.3	0	0
283209	4.3	0	1.0	0	0	1.5	0	0	0
283358	0.7	0	3.2	0	1.1	0.7	0.5	0	0
283629	2.4	0.3	0	0	0	3.2	0	1.0	0
283748	4.3	0	0	0	0	1.4	0	0.8	0
283871	1.1	1.6	0	0	0	0.8	0	0.5	0
283985	0.2	0	0	0	0	0	0.2	2.0	0
284004	0.9	5.0	0	1.6	1.8	3.9	0	0.3	0
284086	2.7	0	0	0	1.5	2.2	0.8	0.8	0
284098	0	0	0	0	0	0	4.2	0	0
284111	0.9	0.5	0	0	0.9	0	0	0	0
284129	0	0	5.0	5.0	0	4.0	5.0	0	0
284273	2.5	0	1.4	0	1.5	2.0	0	4.2	0
284656	0.3	3.8	0	0	0	0	0	0.3	0
284996	0	0.4	0.4	0	0.4	0	0.8	0	0
285193	1.3	1.3	0	0	0.7	0	0	0	0
285220	0.5	0.8	0	0	0.8	4.5	0.6	0	0
285440	2.1	1.0	0	0.8	0	2.4	4.3	0.5	0
285671	1.5	0	0	0	0	4.1	3.0	0	0
285755	2.0	0	1.4	0	0.2	0	0	0	0
286016	-1	-1	-1	-1	-1	-1	-1	-1	-1
286297	-1	-1	-1	-1	-1	-1	-1	-1	-1
286410	0	0	3.3	0	0	0	5.0	0	0
2872	2.7	0	0	0	0	5.0	0	0	0
2875	4.7	3.0	0	1.3	3.3	2.9	2.2	1.6	0
2876	4.7	2.2	0	0	4.6	1.8	1.0	1.5	0
2877	4.8	1.8	0	0	1.6	2.8	0	0	0
2878	1.6	5.0	0	0.2	1.5	1.4	0.7	1.0	0.5
2879	4.6	2.6	0	0	4.5	4.3	0.6	0	0
2880	1.5	5.0	0	0	1.3	0	1.0	0	0
2882	1.3	4.0	0	0.2	0.8	2.4	5.0	0	0
28965	1.0	0.7	0	0.2	1.4	0	1.3	2.0	0
28972	0	0	0	0	0.5	0	5.0	0.2	0
28976	1.6	0	0	0	5.0	5.0	0	0	0
28982	1.1	0	0	0	5.0	0	0	0	0
28992	0.3	0	0	0	2.6	5.0	0	1.3	0
28996	1.6	0.8	0	0	0	5.0	0	0	0
290	1.7	5.0	1.7	1.5	0.8	1.4	2.6	0	0
29072	2.3	0.4	0	0	0.5	4.7	0	0.3	0
29082	4.1	0	0	1.3	0	5.0	0	0	0
29085	4.7	0.6	0	0	0.5	2.3	0	0	0
29089	2.3	0	0	0	1.7	4.6	0	0	0
291	1.1	0.3	0	0	5.0	0.8	0	0.4	0
29101	4.1	0.3	0.3	0	1.9	5.0	0	0	0
29110	4.6	1.1	0.8	1.3	1.9	4.5	1.4	0.3	0
29116	4.5	1.8	0	1.3	0	1.7	0	0	0
29124	0.5	3.4	0	0	0.5	5.0	0	0	0
29128	0	0	0	0	0	5.0	0	0	0
292	2.0	0.7	0	0	5.0	1.2	0	0.2	0
2923	1.4	5.0	1.8	0.6	1.1	1.2	5.0	0	0
293	2.2	0.2	0	0	5.0	1.1	0	0.5	0
2936	4.5	1.5	0	0.7	5.0	2.0	1.0	0.7	0
2937	4.5	0.3	0	0	1.2	2.8	0	0.8	0
2938	4.7	0	0	0	1.2	2.4	0	0.6	0
2939	4.7	0	0	0	0.4	1.3	0	0	0
2940	4.6	0	0	0	0.7	1.0	0	0.6	0
2941	4.7	0	0	0	1.8	1.1	0	0	0
2944	4.7	4.2	1.2	0.5	1.6	1.6	0	0.3	0
2946	4.8	4.0	0	0.5	0.9	3.1	4.2	0	0
2947	4.8	4.1	0	0	0.8	2.5	0	0	0
2948	4.7	4.0	0	0	0.5	1.4	0	0.9	0
2949	4.6	4.0	0	0	0.5	0	0	0	0
2950	4.8	4.3	0	0	4.7	3.9	0.8	1.5	0
2952	-1	-1	-1	-1	-1	-1	-1	-1	-1
2953	-1	-1	-1	-1	-1	-1	-1	-1	-1
2954	4.7	0	0	0	4.6	1.7	0	0	0
2962	1.4	0	0	0	0	5.0	0	0	0
2974	-1	-1	-1	-1	-1	-1	-1	-1	-1
29761	4.6	0	0	0	1.1	3.4	4.1	0.4	0
2977	2.3	0	0	0	0	2.0	0	0	0
2978	2.3	0.4	0	0	0	0	0	0	0
29785	0	1.8	0.5	0	0.7	0.9	4.4	0	1.1
29796	0.9	0.7	0	0	4.7	0	0.7	0.7	0
2982	-1	-1	-1	-1	-1	-1	-1	-1	-1
2983	-1	-1	-1	-1	-1	-1	-1	-1	-1
2984	1.7	1.4	0	0	0	1.2	3.5	1.0	0
29841	4.4	1.3	4.3	0	0.5	5.0	0.5	0.5	0
2986	1.8	0.9	0	0	0.6	4.0	0	0.5	0
2987	4.3	0	0	0	2.1	1.9	0	0	0
29880	2.1	0	0	0	0	0	3.9	0	0
29881	0	2.1	0	0.9	0	0.5	0.8	0	0
2990	1.6	5.0	1.1	5.0	1.5	2.1	1.4	1.2	0
29906	0	2.4	4.7	0.7	0	0	1.0	0	0
2992	4.4	4.0	0.3	4.0	0.2	1.5	0	0.2	0
29920	1.6	1.1	0	0	5.0	0.6	0.6	0	0
29922	4.5	0	0	0	2.6	1.4	0	0	0
29925	2.1	0.9	0	0	2.0	0.4	0	0	0
29926	1.6	0.3	0	0	1.9	2.0	0	0.2	0
29929	0	0	0	0	0	0	3.6	0	0
29941	2.9	0	4.1	0	0.6	4.4	0	0	0
29943	4.1	1.1	0.3	0	1.8	4.2	1.3	0	0
29947	1.3	0.3	0	0	0	2.5	0	0	0
29953	0.9	1.3	0	0	0.3	0	0.3	0	0
29954	0	0.9	0	0	0	0	3.8	0	0
29956	0	0.7	1.6	0.8	1.2	3.6	4.4	0	0
29958	1.6	0	0	0	5.0	0	0	0	0
29968	4.8	0.7	0	0	0.8	2.7	0	0.8	0
2997	4.7	0	0	0	0.9	2.2	0	0.3	0
2998	4.3	0	0.3	0	0.4	0.5	0	0.3	0
29988	0	0	0.7	0.7	0	0	0	0	0
30	4.2	4.0	0	0	2.4	0.7	0.6	5.0	0
3000	1.3	0.5	0	0	0	4.0	0.2	0	0
30061	4.3	1.6	0	0.9	0.9	4.0	0	0	0
3028	0.7	0.5	1.5	0	5.0	2.3	1.4	0	0
3029	4.2	0	0	0	5.0	0	0	0	0
3030	1.1	0.9	0	0	5.0	1.1	0.8	1.7	0
3032	0	0	0.5	0	5.0	2.6	5.0	1.6	0
3033	0	0.6	0	0	5.0	4.6	0.7	1.9	0
3034	4.6	0.9	1.0	0	1.6	1.0	0	0	0
3035	4.7	0	0	0	3.3	2.2	0	0	0
3036	0.7	1.5	2.7	0	0	1.1	0.9	0	0
3037	0	2.5	2.0	0	0	1.4	0	0	0
3038	0	5.0	1.7	0	0	0	0	0	0
3052	1.9	2.0	0	0.5	4.6	1.7	0	0	0.8
3055	5.0	1.9	3.3	5.0	0	4.4	0	0.3	0
306	4.8	1.5	0	0.9	0.7	2.2	0.6	0	0
3067	4.5	1.0	0	0	0.3	2.2	0.7	0.4	0
3069	4.6	3.4	0	0	0	3.9	0.8	0	0
3073	0.8	0.8	0	5.0	1.4	0	0	0	0
3074	0	4.1	0	5.0	0	0	2.1	0	0
3081	4.3	1.0	0	0	0	3.0	0	0	0
30811	3.3	0	0	0	0	4.1	0	0	0
30814	0	5.0	0	0	0	0	0	0	0
30815	0	0.6	4.7	0.9	0.2	0	1.1	0	0
30833	4.6	1.0	0	0	0.9	5.0	0	0.6	0
30834	0.5	2.2	0	0	0	4.4	0	0	0
30849	4.5	0	0.7	1.7	0.8	1.2	0	0	0
3093	4.8	0.5	0	1.0	1.4	4.0	1.1	0	0
3098	4.4	1.3	0	0	5.0	2.4	1.1	1.1	1.3
3099	4.3	0.9	0	0	5.0	2.1	2.0	0.5	0
31	4.6	1.1	0	0	3.7	4.5	1.2	1.2	0
3101	4.2	4.0	0	0	1.7	1.5	0	0	0
313	0	3.8	0	1.0	0	0	0	0	0
314	1.0	1.7	0.4	1.0	1.2	0	0.6	0	0
3141	5.0	1.4	0	0	5.0	5.0	0.4	0.4	0
3145	4.2	0.7	0.7	0	1.3	1.1	1.0	0	0.6
3155	4.1	0	0	0	5.0	0	0	5.0	0
3156	2.1	2.8	0	1.1	1.6	1.7	5.0	5.0	0
3157	4.4	1.2	0	0	1.4	2.5	0.9	1.1	0
3158	2.1	0.5	0	0	5.0	1.0	0	1.0	0
316	5.0	0.8	0	0	1.8	0.7	0	2.0	0
3162	3.9	4.4	1.9	1.2	2.9	4.3	5.0	2.2	0
3163	3.3	0.8	0.2	0	1.6	1.6	5.0	0.9	0
3176	4.7	1.1	0	0	0.8	3.4	0	0	0
3177	0.8	1.4	0	0.8	0.5	4.4	0	0	0
318	1.7	0.4	0	0	4.4	1.6	0	0	0
32	4.6	0.8	0	0	5.0	5.0	1.3	1.6	0
3242	4.6	0.5	3.0	0	1.5	3.2	3.0	0	0
3248	4.6	1.1	0	0	0.7	4.4	0	0.6	0
3251	4.8	1.0	0	0	2.2	2.5	0	0.8	0
3283	0.9	1.9	0	0.2	5.0	1.5	5.0	0.8	5.0
3284	0	0.5	0	0.3	5.0	1.1	5.0	0.6	4.0
3290	2.1	1.3	0	0	0.9	1.3	4.4	2.2	0
3291	1.0	1.7	0.2	0.7	1.2	1.8	4.1	0.5	0
3292	4.5	1.3	0.2	0	1.4	2.3	1.2	0	0
3293	0.1	2.0	0	0.3	0	0.7	5.0	0.1	0
3294	0	0.3	0	1.5	0	0	4.0	0.7	0
3295	4.4	0	0	0	1.4	1.1	0.4	5.0	0
33	3.0	0	0	0	5.0	0.5	0	0	0
3339	1.4	5.0	4.1	4.2	0	2.0	0.6	0	0
3340	0.8	1.7	4.5	0.4	0	0	1.5	0	0
335	4.6	5.0	1.1	1.5	1.2	3.0	4.3	1.6	0
336	4.1	4.8	0	0	0	0.8	4.1	1.2	0
3376	5.0	0.6	0	0	0.9	2.8	0	0	0
337876	0	0.7	4.3	0.5	0.2	0	0.8	0.2	0
338	4.6	4.9	3.0	4.3	1.1	1.7	5.0	1.3	0
338328	0	4.7	0	0	0	0	0	0	0
338599	2.6	0.6	0	0	0.4	1.1	0	0	0
338707	0	0.7	3.8	0.8	0	1.5	0.8	0	0
339221	0	0.2	5.0	0.5	0	0	0	0	0
3396	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	1.9	0	0	0	5.0	4.4	0	1.6	0
340024	0	0	0	0	0	0	0	0	0
340156	2.8	0	0	0	0.9	1.7	0	0	0
340485	0	0	5.0	0.6	0	0	0.9	0	0
340811	-1	-1	-1	-1	-1	-1	-1	-1	-1
341	0	4.8	0	0	0	0.5	4.0	0	0
341392	0	0	0	0	3.9	0	0	0	0
341676	2.5	0	0	0	0.2	0.3	0	0	0
3417	5.0	4.3	0	0	3.8	2.8	0.7	5.0	0
3418	3.6	1.1	0	0	5.0	1.6	0	2.4	0
3419	2.2	0	0	0	5.0	1.4	0	0.3	0
341947	0	1.0	0	0	5.0	0	0	0	0
3420	2.0	0	0	0	5.0	0	0	0	0
3421	1.4	0	0	0	4.7	4.5	0	0.3	0
3422	4.4	0	0	0	2.5	1.8	0	5.0	0
3423	0	1.1	0	5.0	0	0	0.6	0	0
3425	0	1.3	0.8	5.0	0	0	0.3	0	0
343	0	0	0	0	3.5	0	0.5	0	0
343641	3.0	0.7	0.1	0.1	0.7	0.7	0.2	0.1	0
344	0.7	4.6	0	0	0	0.9	0	0	0
344387	1.4	0	0	0	1.1	3.3	0.3	0	0
344558	2.5	0	0	0	0	3.7	0	0	0
344967	-1	-1	-1	-1	-1	-1	-1	-1	-1
345	1.0	4.8	0.5	0	0.8	1.4	0	1.8	0
345274	0	0	0	0	0	0	0	0	0
346606	0	0	0.9	0	1.5	0	5.0	0	0
347734	0.8	0	5.0	0	0.5	0.7	3.0	0	0
348	1.8	5.0	4.3	2.2	2.2	2.1	4.4	1.5	0
3480	1.9	2.9	0	0.7	1.6	2.1	1.1	0.5	0
348158	0.9	0	0	0	4.5	0.8	0	0	0
348932	0	0	0	0	0	0	0	0	0
349565	2.7	0	0.6	0	5.0	0.9	0	0	0
35	2.5	0.5	0	0	5.0	4.3	0	1.0	0
353	4.7	4.1	0	0	1.2	4.6	0	0	0
353238	0	1.0	0	0	0	3.3	0	0	0
353497	1.5	0	0	0	0	5.0	0	0	0
355	4.8	5.0	0	1.2	2.3	4.4	1.2	0.6	0
3551	4.8	1.4	0	0	1.2	4.3	0.9	0	0
358	1.1	5.0	0	0	0.9	5.0	1.0	0	0
359	1.0	5.0	3.6	1.3	0	0.9	1.8	0	0
36	1.5	0	0	0	5.0	0	0	0	0
360	0	1.4	0	0	0.6	4.2	0	0	0
360132	-1	-1	-1	-1	-1	-1	-1	-1	-1
360203	0	1.7	4.1	0	0	0	0.8	0	0
361	0.9	2.1	0	0.9	1.2	1.2	0.9	0	0
3611	4.6	2.3	0	0	1.0	4.7	0	0.2	0
3612	4.4	0	0	0	3.6	1.9	0	0	0
3613	4.6	0	0	0	1.8	1.8	0.7	0	0
3614	4.5	4.0	0	4.0	1.7	5.0	0	0.7	0
3615	4.6	4.0	0	0	1.7	5.0	0	0.8	0
362	0.7	1.5	0	0	0	1.1	2.0	0	0
3620	4.6	2.1	0	0	2.1	2.8	0	0.4	0
3628	4.6	0	0	0	0	0	0	0	0
3631	4.1	0	0	0	0	0.2	0	0.2	0
3632	2.6	1.2	0	0.5	0.3	0	0.8	0.6	0
3633	5.0	0.3	3.4	0	0	1.3	0	0	0
3635	4.6	0.8	0	0	0.5	1.4	0	0	0
3636	5.0	0.8	4.4	0	0	1.8	0	0	0
364	0	0.8	0	0	1.1	0.7	0	0	0
3640	0	5.0	0	0	0	0.8	0	0	0
3643	0.6	1.1	0	0	0.8	1.2	0	0	0
3645	0.9	2.1	0	0.2	0.3	0	0.2	0.3	0
3654	4.7	1.4	0	0	0	4.7	0	1.0	0
3656	4.3	0	0	0	0.3	3.7	1.2	0.4	0
3658	4.4	0.6	0	0	3.7	1.8	0	0	0
366	0	1.1	0	0	0.5	0.6	0	0	0
369	4.1	0.8	0	0	3.2	2.7	0	0	0
37	4.3	0	0	0	5.0	4.4	0	2.5	0
3702	4.6	0.8	0	0	0	4.4	0	0	0
3703	0	0	0.7	0	0	0	5.0	0	0
3704	4.8	1.0	0	0	1.2	1.4	0	0	0
3705	4.3	0	0	0	2.3	1.6	0	0	0
3706	4.0	0	0	0	1.5	0	0.8	0	0
3707	4.2	0.6	0	0	0.3	2.9	0.9	0	0
3712	2.1	2.5	0	0	5.0	2.8	0.6	0	0
3716	4.6	1.7	0	0	1.0	4.6	0.8	0	0
3717	4.7	2.0	0	0.9	1.6	5.0	1.4	0	0
3718	4.5	1.4	0	0	0	2.6	0	0.2	0
372	4.4	0.2	4.5	0	1.4	0.2	4.2	0.7	0
373156	4.3	0	0	0	4.2	1.3	0	5.0	0
3735	5.0	4.1	0.4	0	5.0	5.0	0.8	0	0
373856	3.3	1.1	0	0	0.6	0.6	0	0.2	0
374291	1.7	0.8	0	0	5.0	1.5	0	0.5	0
374462	0	0	0	0	0	0	0	0	0
374569	4.5	1.2	0	0.5	2.5	0	0.9	0	0
374875	0.2	4.0	0	0	0.6	4.1	0.7	0	0
374907	0	2.2	4.3	0.6	0	0	3.0	0	0
375056	0.1	1.3	2.6	0	0	0	5.0	0.1	0
375449	3.4	0	0	0	0	1.4	0	0	0
375775	2.4	0	0.2	3.0	3.2	3.1	3.3	0.7	0
3764	1.8	0.6	0	0	2.9	1.5	0.6	0.6	0
376497	4.2	1.5	0	0.5	4.4	0	2.3	1.6	0
3767	3.0	0.8	0.5	0	3.0	2.8	2.8	0	0
377630	4.2	0	0	0	0	5.0	5.0	0.5	0
377677	4.6	0.9	0	0	1.7	3.1	0	0.3	0
377841	1.5	2.5	0.7	0	0.5	1.5	0.6	0.6	0
378884	4.1	0	0	1.1	0.7	5.0	5.0	0.3	0
3791	1.6	5.0	5.0	0.9	1.2	5.0	5.0	0.5	0
3795	4.4	3.0	0	0	0	0.5	0	0	0
38	2.3	0	0	0	5.0	0	0	1.7	0
3815	1.7	4.5	0.8	2.5	1.5	2.4	2.0	0.5	0
383	4.2	5.0	0	4.1	3.0	3.5	0	0	0
384	1.3	1.2	0	0	4.8	2.1	0	1.5	0
386757	-1	-1	-1	-1	-1	-1	-1	-1	-1
387775	0	0	0	0	0	0	0	0	0
387787	0.5	0.5	0	0	5.0	0	0	0	0
387893	-1	-1	-1	-1	-1	-1	-1	-1	-1
388228	1.5	0	0	0	0	0	0	0	0
388714	0	0	0	0.2	0.1	0	3.2	1.3	0
389015	0	0	0	0	0	0	0	0	0
3897	0	1.9	0	0	0	2.3	0	1.7	0
389840	1.9	0	0	0	0	1.7	0	0	0
389898	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	4.5	0	0	0	3.9	4.3	0.5	2.7	0
3906	1.2	5.0	4.3	0.7	0	1.3	0.9	0	0
390928	-1	-1	-1	-1	-1	-1	-1	-1	-1
391013	0	4.2	0	0	0	0	0	0	0
391627	-1	-1	-1	-1	-1	-1	-1	-1	-1
3930	1.3	1.1	0	0.5	0.5	5.0	5.0	0.8	0
3931	0.7	4.6	0	0.7	0.6	1.7	0	0.7	0
3932	4.7	1.7	2.6	1.1	2.1	1.8	0.8	0	0
3938	1.3	1.5	1.6	1.0	0	1.1	1.5	0.7	0
3939	4.8	1.4	0	0.9	2.3	2.4	0	0.7	0
3945	4.8	0.8	0	0	2.6	0.7	0.5	0.7	0
3948	4.7	0	0	0	2.0	0.8	0	0	0
3949	2.0	4.3	5.0	5.0	1.2	1.7	1.7	2.1	0
3984	4.7	0.8	0	0	0	4.8	0	0	0
3985	2.2	0	2.0	0	0	5.0	0	0	0
3988	0.8	1.7	0	5.0	0.8	4.0	0.6	0.5	0
